,mask_id,matched_id
0,17,202
1,56,258
2,69,1192
3,95,361
4,104,311
5,106,318
6,108,1034
7,110,314
8,111,315
9,112,312
10,113,322
11,114,1115
12,149,1136
13,150,358
14,153,363
15,154,863
16,156,367
17,158,371
18,159,369
19,160,373
20,161,895
21,168,379
22,169,328
23,193,857
24,200,428
25,201,430
26,203,433
27,204,439
28,205,434
29,206,986
30,207,435
31,208,1220
32,252,480
33,253,483
34,255,479
35,262,491
36,264,495
37,271,1251
38,274,744
39,312,542
40,316,541
41,335,959
42,489,737
43,498,906
44,500,734
45,510,999
46,511,414
47,535,790
48,549,426
49,550,1217
50,558,860
51,565,815
52,575,752
53,576,954
54,579,854
55,582,500
56,583,728
57,588,993
58,589,326
59,597,1299
60,601,416
61,609,423
62,615,1040
63,622,1075
64,623,473
65,627,1099
66,638,977
67,647,415
68,655,1005
69,662,481
70,672,257
71,674,436
72,697,761
73,717,429
74,720,482
75,729,565
76,734,1084
77,748,909
78,750,364
79,758,447
80,762,421
81,764,1074
82,770,316
83,771,1301
84,805,321
85,808,545
86,815,989
87,820,359
88,822,313
89,836,841
90,850,947
91,853,356
92,855,475
93,865,432
94,869,1022
95,56,1491
96,95,2270
97,104,2055
98,105,1529
99,106,1530
100,108,1532
101,109,1982
102,110,1535
103,111,1531
104,112,1533
105,113,1538
106,114,2022
107,149,1566
108,150,1562
109,153,1570
110,154,1574
111,158,1576
112,159,1577
113,160,1578
114,161,2067
115,162,2154
116,168,1584
117,193,2115
118,197,1616
119,198,1621
120,199,1993
121,203,1629
122,204,1628
123,205,1632
124,206,2297
125,208,2065
126,212,2181
127,251,1673
128,252,1675
129,253,1676
130,255,1672
131,256,1679
132,261,2236
133,262,1689
134,263,1633
135,271,2348
136,274,1939
137,312,1721
138,335,1694
139,498,2044
140,500,1922
141,511,2349
142,516,2091
143,517,1913
144,535,1905
145,540,1567
146,547,1561
147,549,1622
148,558,2010
149,565,2020
150,575,1998
151,576,2045
152,577,2309
153,579,2030
154,583,1962
155,589,2164
156,593,1670
157,597,1539
158,601,1613
159,609,2251
160,615,2332
161,618,2294
162,638,1636
163,647,1610
164,662,1671
165,672,1919
166,689,1690
167,717,1619
168,720,1674
169,729,1737
170,734,1572
171,758,1640
172,762,1617
173,764,2393
174,770,2052
175,771,2240
176,805,1537
177,808,1723
178,815,2036
179,820,1563
180,822,1534
181,836,2261
182,850,2131
183,852,2017
184,855,2362
185,865,1634
186,869,2158
187,56,3335
188,69,3431
189,104,2623
190,105,2624
191,106,2626
192,108,2627
193,110,2629
194,111,2625
195,112,2630
196,113,2635
197,114,3429
198,117,2641
199,149,3079
200,150,2671
201,153,2675
202,154,3340
203,158,3458
204,159,2679
205,160,2681
206,168,2689
207,169,2686
208,193,3161
209,194,2711
210,197,2719
211,198,2725
212,199,3357
213,200,2726
214,201,2678
215,203,2729
216,204,3372
217,205,2732
218,206,3101
219,208,3138
220,212,3169
221,251,2769
222,252,2767
223,254,3345
224,255,2766
225,262,2787
226,263,2782
227,267,2785
228,270,3341
229,271,2790
230,272,3192
231,274,2792
232,312,2821
233,316,2822
234,335,3333
235,489,3023
236,498,3106
237,500,3011
238,510,3185
239,511,3242
240,517,2715
241,535,3045
242,540,3183
243,549,2724
244,558,3158
245,565,3176
246,575,3016
247,576,3145
248,577,3164
249,579,3110
250,582,2780
251,588,3043
252,589,3395
253,597,3213
254,601,2713
255,615,2519
256,622,2772
257,623,2764
258,638,3162
259,643,2784
260,647,2712
261,662,2768
262,672,3182
263,674,3298
264,689,3321
265,697,2642
266,717,2723
267,729,2834
268,734,3338
269,748,3121
270,750,3294
271,758,2740
272,762,2718
273,764,2670
